국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,전체수출대비_비중_%
BH,바레인,2026-07-01,3423736,9352147.0,-63.39090906077502,-25.110139674672084,0.003423736,0.0034597485636937157
NP,네팔,2026-07-01,3110317,2789430.0,11.503676378328187,-14.89572505419714,0.003110317,0.003143032866255502
BO,볼리비아,2026-07-01,3108819,2601472.0,19.502304848947063,20.557887054454692,0.003108819,0.003141519109543999
BJ,베닝,2026-07-01,3078690,4535095.0,-32.11410124815467,33.647944809431564,0.00307869,0.0031110731976876156
AF,아프카니스탄,2026-07-01,2925634,4252798.0,-31.20684311834232,25.351293173626832,0.002925634,0.0029564072783046067
BF,부르키나 파소,2026-07-01,2922454,2838888.0,2.9436173600367432,84.77680696858208,0.002922454,0.0029531938294777853
ZW,짐바브웨,2026-07-01,2827341,2048519.0,38.018783325905204,-31.04782952455323,0.002827341,0.002857080383482358
IS,아이슬란드,2026-07-01,2648888,4162489.0,-36.3628828808917,6.405017355315801,0.002648888,0.0026767503257802356
NC,뉴 칼레도니아,2026-07-01,2546759,1857340.0,37.1186212540515,222.00934130403996,0.002546759,0.002573547081995821
JM,자마이카,2026-07-01,2105480,3717656.0,-43.36538937437998,25.847182831304604,0.00210548,0.002127626489275413
GP,과델로프,2026-07-01,2091028,56337.0,3611.642437474484,162.43875256034377,0.002091028,0.0021130224759278587
MV,몰디브,2026-07-01,1807116,1049525.0,72.18417855696624,62.882776995614066,0.001807116,0.0018261241478396504
GA,가봉,2026-07-01,1713484,2714538.0,-36.87750917467355,-18.895510787920788,0.001713484,0.0017315072797412425
AW,아루바,2026-07-01,1563478,2427072.0,-35.5817215146481,-65.23706388132365,0.001563478,0.001579923441780185
BB,바베이도스,2026-07-01,1546098,1117638.0,38.336205461875835,97.79699331805813,0.001546098,0.0015623606302675576
MP,북마리아나 군도,2026-07-01,1484156,812294.0,82.71167828397108,-57.75883513161977,0.001484156,0.0014997670934024734
MO,마카오,2026-07-01,1476257,1290949.0,14.354401297030318,9.567121929351895,0.001476257,0.001491785007778869
KY,영령 캐이맨 군도,2026-07-01,1447988,1008762.0,43.54109294362794,1403.9187378610527,0.001447988,0.0014632186603306262
CW,큐라소,2026-07-01,1403597,755908.0,85.68357524989814,57.38674207850516,0.001403597,0.0014183607336414983
UG,우간다,2026-07-01,1178997,2314282.0,-49.05560342257339,-18.626559143940945,0.001178997,0.0011913982787660029
SC,세이쉘,2026-07-01,1149665,665589.0,72.72896637414381,-21.314027979302985,0.001149665,0.0011617577501533225
AS,아메리칸 사모아,2026-07-01,1135492,576540.0,96.94938772678393,-67.89738399296593,0.001135492,0.0011474356714669895
GD,그레나다,2026-07-01,1030249,37267.0,2664.507473099525,33.57167305408475,0.001030249,0.0010410856730766879
