대시보드품목,조회HS,국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,품목총수출_USD,품목수출대비_비중_%
승용차,8703,LC,세인트 루시아,2026-07-01,23123,223253.0,-89.64269237143509,-60.858893628546284,2.3123e-05,5954827283,0.00038830681229012567
승용차,8703,MF,세인트 마틴,2026-07-01,12572,226252.0,-94.44336403656101,-70.86712703341522,1.2572e-05,5954827283,0.00021112283199028933
승용차,8703,KN,세인트 키츠 네비스,2026-07-01,108808,62231.0,74.84533431890858,134.2173239194076,0.000108808,5954827283,0.0018272234412344416
승용차,8703,SX,세인트마틴(생마르탱),2026-07-01,162452,,,2203.630175836642,0.000162452,5954827283,0.0027280724071338273
승용차,8703,SB,솔로몬 군도,2026-07-01,82568,,,0.0,8.2568e-05,5954827283,0.00138657254150288
승용차,8703,SD,수단,2026-07-01,816170,13317.0,6028.782758879627,-11.447285762799764,0.00081617,5954827283,0.013706023050072735
승용차,8703,SR,수리남,2026-07-01,12370,,,-31.063308069549713,1.237e-05,5954827283,0.00020773062613107534
승용차,8703,LK,스리랑카,2026-07-01,594026,572374.0,3.782841289087213,1.114250697896102,0.000594026,5954827283,0.009975537018442858
승용차,8703,SE,스웨덴,2026-07-01,59771778,67361826.0,-11.267580543318411,55.55590949523075,0.059771778,5954827283,1.0037533442932605
승용차,8703,CH,스위스,2026-07-01,19058517,19392376.0,-1.7215992511696365,-33.99970536505713,0.019058517,5954827283,0.3200515496798499
승용차,8703,ES,스페인,2026-07-01,142019697,142405531.0,-0.2709403190245485,30.71695124049427,0.142019697,5954827283,2.384950734095036
승용차,8703,SK,슬로바키아,2026-07-01,4688722,3810279.0,23.054558471964913,10.70144347752997,0.004688722,5954827283,0.07873816950804752
승용차,8703,SI,슬로베니아,2026-07-01,3648320,7508278.0,-51.40936443749153,-18.31287901246067,0.00364832,5954827283,0.06126659643706748
승용차,8703,SY,시리아,2026-07-01,970016,21065388.0,-95.3952141778732,-80.75278008608326,0.000970016,5954827283,0.016289574053125398
승용차,8703,SL,시에라 리온,2026-07-01,49378,15473.0,219.123634718542,13.740123926012938,4.9378e-05,5954827283,0.0008292096084963813
승용차,8703,SG,싱가포르,2026-07-01,1119936,4295701.0,-73.92891171894877,-70.16643286824052,0.001119936,5954827283,0.01880719535220145
승용차,8703,AE,아랍에미리트 연합,2026-07-01,40619569,37871841.0,7.255332530573311,339.11936714249606,0.040619569,5954827283,0.6821284156462746
승용차,8703,AW,아루바,2026-07-01,681325,935379.0,-27.160541342065624,-36.815889947019286,0.000681325,5954827283,0.01144155770806426
승용차,8703,AM,아르메니아,2026-07-01,151368,783448.0,-80.67925376030061,-24.533343969368214,0.000151368,5954827283,0.002541937705433194
승용차,8703,AR,아르헨티나,2026-07-01,1385088,9195197.0,-84.93683169593865,123.50547271228041,0.001385088,5954827283,0.02325991895607428
승용차,8703,AS,아메리칸 사모아,2026-07-01,158708,297618.0,-46.673924292213506,-67.44331072737045,0.000158708,5954827283,0.002665199047050178
승용차,8703,IS,아이슬란드,2026-07-01,1555400,1248696.0,24.56194301895738,-3.379241756268947,0.0015554,5954827283,0.026119985115947823
승용차,8703,IE,아일랜드,2026-07-01,16780250,8951624.0,87.45481266862862,55.454169078810665,0.01678025,5954827283,0.28179238796572165
승용차,8703,AZ,아제르바이잔,2026-07-01,10926629,4997895.0,118.62462096542643,-25.349279128433654,0.010926629,5954827283,0.18349195502602791
승용차,8703,AF,아프카니스탄,2026-07-01,526479,302434.0,74.08062585555857,53133.468149646105,0.000526479,5954827283,0.008841213606698659
승용차,8703,AG,안티가 바부다,2026-07-01,173309,514099.0,-66.2887887352436,245.8571143484334,0.000173309,5954827283,0.0029103950755174236
승용차,8703,AL,알바니아,2026-07-01,36788169,28077218.0,31.024979041727008,8.858450339552304,0.036788169,5954827283,0.6177873387700739
승용차,8703,DZ,알제리,2026-07-01,5274212,4295492.0,22.784817199054274,-43.97495821660148,0.005274212,5954827283,0.0885703606392911
승용차,8703,AO,앙골라,2026-07-01,717384,380568.0,88.50350003153183,10.455643540879823,0.000717384,5954827283,0.012047100040130584
승용차,8703,EE,에스토니아,2026-07-01,4030901,1427363.0,182.40195381273017,-0.48546313909294536,0.004030901,5954827283,0.0676913167827306
승용차,8703,EC,에쿠아도르,2026-07-01,1833571,17713972.0,-89.64901265509508,-84.6089864425824,0.001833571,5954827283,0.03079133806675682
승용차,8703,ET,에티오피아,2026-07-01,1316282,,,5376.066064816741,0.001316282,5954827283,0.02210445303355409
승용차,8703,SV,엘살바도르,2026-07-01,1468366,695600.0,111.09344450833811,65.1242790264594,0.001468366,5954827283,0.024658414597379347
승용차,8703,GB,영국,2026-07-01,240014070,234980421.0,2.1421567714358547,8.239465453936191,0.24001407,5954827283,4.030579873999009
승용차,8703,VG,영령 버진군도,2026-07-01,56064,274552.0,-79.57982458696348,44.37577255871445,5.6064e-05,5954827283,0.0009414882638167022
승용차,8703,KY,영령 캐이맨 군도,2026-07-01,1430380,937310.0,52.60479457169986,2962.3220364383737,0.00143038,5954827283,0.024020511964863985
승용차,8703,YE,예맨,2026-07-01,139923,1113252.0,-87.4311476646797,-32.558128325749976,0.000139923,5954827283,0.0023497406952415886
승용차,8703,OM,오만,2026-07-01,7551136,5917602.0,27.604661482810087,148.24939820905962,0.007551136,5954827283,0.12680696922238507
승용차,8703,AT,오스트리아,2026-07-01,15575218,22830458.0,-31.7787755287257,-32.96932275862989,0.015575218,5954827283,0.26155616711948215
승용차,8703,HN,온두라스,2026-07-01,684611,500694.0,36.7324154074145,-43.91877445732087,0.000684611,5954827283,0.011496739829120582
승용차,8703,JO,요르단,2026-07-01,29595606,30871586.0,-4.133185771537617,-1.5933798688417378,0.029595606,5954827283,0.49700192118905495
승용차,8703,UY,우루과이,2026-07-01,1995493,1163491.0,71.50910492646699,16.434302932135857,0.001995493,5954827283,0.03351051013178479
승용차,8703,UZ,우즈베키스탄,2026-07-01,15853856,7487904.0,111.72621871220572,13.860260576751205,0.015853856,5954827283,0.2662353624472033
