HSK10,수출액_USD,Master포함
2523901000,0.0,True
2523909000,32176.0,True
2525100000,0.0,True
2525200000,215555.0,True
2526100000,0.0,True
2526200000,1360399.0,True
2528001000,0.0,True
2528002000,0.0,True
2529100000,371871.0,True
2529211000,0.0,True
2529219000,22100.0,True
2529221000,0.0,True
2529229000,0.0,True
2529302000,0.0,True
2529303000,0.0,True
2530101000,2582.0,True
2530102000,413359.0,True
2530901000,0.0,True
2530904000,0.0,True
2530905000,346260.0,True
2530906000,0.0,True
2530907000,0.0,True
2530908000,272118.0,True
2530909010,36617.0,True
2530909020,16033.0,True
2530909040,0.0,True
2530909091,36689.0,True
2530909099,853732.0,True
2601111000,0.0,True
2601112000,2520333.0,True
2601119000,0.0,True
2601121000,0.0,True
2601129000,0.0,True
2602000000,0.0,True
2603000000,163669.0,True
2604000000,184159.0,True
2605000000,0.0,True
2606000000,85574.0,True
2607000000,2418.0,True
2608000000,210879.0,True
2609000000,0.0,True
2610000000,0.0,True
2611009000,1331894.0,True
2612100000,0.0,True
2613100000,23078334.0,True
2613900000,0.0,True
2614001000,263800.0,True
2614009000,652708.0,True
2615100000,50801.0,True
2616100000,0.0,True
2616901000,0.0,True
2616902000,0.0,True
2617902000,0.0,True
2618000000,769971.0,True
2619001010,0.0,True
2619003000,1156954.0,True
2619009000,268783.0,True
2620110000,0.0,True
2620190000,20523.0,True
2620290000,0.0,True
2620300000,0.0,True
2620400000,80475.0,True
2620910000,2342651.0,True
2620990000,2167188.0,True
2621100000,0.0,True
2621902000,0.0,True
2621909000,0.0,True
2701110000,0.0,True
2701121000,0.0,True
2701122000,0.0,True
2701129010,0.0,True
2701129090,0.0,True
2701190000,1860.0,True
2701201000,0.0,True
2702200000,0.0,True
2703001000,77528.0,True
2703002000,0.0,True
2704001010,877632.0,True
2704001090,2505.0,True
2704002000,0.0,True
2705000000,80624.0,True
2706001000,0.0,True
2706009000,0.0,True
2707100000,0.0,True
2707200000,0.0,True
2707300000,51547123.0,True
2707400000,393316.0,True
2707500000,33861690.0,True
2707910000,2317527.0,True
2707991000,402322.0,True
2707999000,23948296.0,True
2708100000,0.0,True
2708200000,5086673.0,True
2709001010,0.0,True
2709001030,0.0,True
2709001040,0.0,True
2709001050,0.0,True
2709001060,0.0,True
2709001080,0.0,True
2709001090,0.0,True
2710121000,1050743831.0,True
2710122000,3455525.0,True
2710123000,0.0,True
2710124000,88274973.0,True
2710125000,0.0,True
2710129000,21692243.0,True
2710191010,0.0,True
2710191090,1777249.0,True
2710192010,71512.0,True
2710192020,1325641149.0,True
2710192030,7772588.0,True
2710192090,8990553.0,True
2710193000,2105109501.0,True
2710194010,1310.0,True
2710194020,0.0,True
2710194030,44863502.0,True
2710194090,1739160.0,True
2710195010,0.0,True
2710195020,803621434.0,True
2710197110,15652.0,True
2710197120,68275346.0,True
2710197130,4959131.0,True
2710197190,654439.0,True
2710197210,27784.0,True
2710197220,353142.0,True
2710197230,5159094.0,True
2710197240,174902.0,True
2710197250,327084.0,True
2710197310,130.0,True
2710197320,6141571.0,True
2710197330,9018340.0,True
2710197410,252909.0,True
2710197420,428842.0,True
2710197430,138062.0,True
2710197440,48502.0,True
2710197450,984173.0,True
2710197510,10087574.0,True
2710197520,355016.0,True
2710197530,36048.0,True
2710197540,23561.0,True
2710197900,5213393.0,True
2710198010,5400.0,True
2710198020,0.0,True
2710198030,0.0,True
2710198040,692791.0,True
2710198090,2522837.0,True
2710199000,75511809.0,True
2710201010,0.0,True
2710201040,0.0,True
2710209210,0.0,True
2710209300,0.0,True
2710209430,6712788.0,True
2710209520,15682.0,True
2710209712,475227.0,True
2710209713,53169.0,True
2710209719,0.0,True
2710209722,4506.0,True
2710209723,0.0,True
2710209732,1757.0,True
2710209733,0.0,True
2710209741,289.0,True
2710209742,29364.0,True
2710209744,0.0,True
2710209745,11042.0,True
2710209790,50090.0,True
2710209890,35889.0,True
2710209900,4631.0,True
2710993000,821.0,True
2710994090,0.0,True
2710995000,0.0,True
2710999000,479.0,True
2711110000,3545920.0,True
2711120000,1179503.0,True
2711130000,13008556.0,True
2711141000,92482.0,True
2711142000,0.0,True
2711190000,6582366.0,True
2711210000,7.0,True
2711290000,0.0,True
2712101000,42.0,True
2712109000,453633.0,True
2712200000,27861.0,True
2712901010,581319.0,True
2712901020,1115615.0,True
2712901090,44904.0,True
2712909030,6504.0,True
2712909040,16464.0,True
2712909090,15591.0,True
2713110000,1220.0,True
2713120000,70517.0,True
2713200000,87764929.0,True
2713900000,0.0,True
2714901000,276736.0,True
2715002000,0.0,True
2715003000,22804.0,True
2715009000,445318.0,True
2801100000,425271.0,True
2801200000,280625.0,True
2801301000,120400.0,True
2801302000,0.0,True
2802001000,0.0,True
2802002000,267.0,True
2802003000,2776.0,True
2803001000,44758.0,True
2803009011,514.0,True
2803009019,30732449.0,True
2803009090,4497838.0,True
2804100000,1014.0,True
