기준월,요청_HSK10,수출액_USD
2025-11-01,8542321020,416521.0
2025-11-01,8542321030,1101251822.0
2025-11-01,8542321090,35268009.0
2025-11-01,8542322000,42210.0
2025-11-01,8542323000,4675185540.0
2025-11-01,8542324000,747287614.0
2025-11-01,8542331000,11676112.0
2025-11-01,8542332000,698597.0
2025-11-01,8542333000,1302445.0
2025-11-01,8542334000,1031650.0
2025-11-01,8542391000,837176873.0
2025-11-01,8542392000,634828.0
2025-11-01,8542393000,13154550.0
2025-11-01,8542394000,11721904.0
2025-11-01,8542900000,29966662.0
2025-11-01,8543901000,17871.0
2025-11-01,8548001000,9169.0
2025-12-01,3818001000,85034226.0
2025-12-01,3818002010,58050.0
2025-12-01,3818002090,147306303.0
2025-12-01,8473304060,3489825803.0
2025-12-01,8523521000,5986941.0
2025-12-01,8523522000,144366.0
2025-12-01,8523529000,822799.0
2025-12-01,8541101000,7710129.0
2025-12-01,8541109000,22710977.0
2025-12-01,8541211000,9705934.0
2025-12-01,8541219000,9933449.0
2025-12-01,8541291000,68337833.0
2025-12-01,8541299000,22432361.0
2025-12-01,8541301000,56728.0
2025-12-01,8541302000,361436.0
2025-12-01,8541303000,5187.0
2025-12-01,8541304000,18143.0
2025-12-01,8541411000,1439144.0
2025-12-01,8541419000,21839764.0
2025-12-01,8541420000,56961709.0
2025-12-01,8541491000,8393091.0
2025-12-01,8541492000,70592.0
2025-12-01,8541493000,33328084.0
2025-12-01,8541499000,5897314.0
2025-12-01,8541511000,4895237.0
2025-12-01,8541512000,68575.0
2025-12-01,8541513000,0.0
2025-12-01,8541514000,122424.0
2025-12-01,8541591000,17936343.0
2025-12-01,8541599000,1904311.0
2025-12-01,8541601000,4817815.0
2025-12-01,8541609000,2779738.0
2025-12-01,8541902000,868426.0
2025-12-01,8541903000,1094618.0
2025-12-01,8541909000,8831399.0
2025-12-01,8542311000,2049871593.0
2025-12-01,8542312000,791836.0
2025-12-01,8542313000,204629904.0
2025-12-01,8542314000,574346667.0
2025-12-01,8542321010,4156349480.0
2025-12-01,8542321020,734629.0
2025-12-01,8542321030,1275594726.0
2025-12-01,8542321090,54902308.0
2025-12-01,8542322000,2258484.0
2025-12-01,8542323000,6161489897.0
2025-12-01,8542324000,985580226.0
2025-12-01,8542331000,13208870.0
2025-12-01,8542332000,709484.0
2025-12-01,8542333000,937759.0
2025-12-01,8542334000,2937352.0
2025-12-01,8542391000,1185054993.0
2025-12-01,8542392000,864545.0
2025-12-01,8542393000,14286493.0
2025-12-01,8542394000,13892888.0
2025-12-01,8542900000,27667569.0
2025-12-01,8543901000,914.0
2025-12-01,8548001000,9031.0
2026-01-01,3818001000,66198112.0
2026-01-01,3818002010,34733.0
2026-01-01,3818002090,136363809.0
2026-01-01,8473304060,3607946301.0
2026-01-01,8523521000,4775463.0
2026-01-01,8523522000,350720.0
2026-01-01,8523529000,1188137.0
2026-01-01,8541101000,5170747.0
2026-01-01,8541109000,19934451.0
2026-01-01,8541211000,16286137.0
2026-01-01,8541219000,10200169.0
2026-01-01,8541291000,72292507.0
2026-01-01,8541299000,20870228.0
2026-01-01,8541301000,4243.0
2026-01-01,8541302000,255693.0
2026-01-01,8541303000,28599.0
2026-01-01,8541304000,132254.0
2026-01-01,8541411000,1454563.0
2026-01-01,8541419000,23076391.0
2026-01-01,8541420000,67701683.0
2026-01-01,8541491000,7122447.0
2026-01-01,8541492000,95879.0
2026-01-01,8541493000,28372895.0
2026-01-01,8541499000,6688907.0
2026-01-01,8541511000,4089600.0
2026-01-01,8541512000,86332.0
2026-01-01,8541513000,1090.0
2026-01-01,8541514000,196119.0
2026-01-01,8541591000,17981021.0
2026-01-01,8541599000,1614580.0
2026-01-01,8541601000,4357094.0
2026-01-01,8541609000,3396567.0
2026-01-01,8541902000,774319.0
2026-01-01,8541903000,1148461.0
2026-01-01,8541909000,7396366.0
2026-01-01,8542311000,2408512319.0
2026-01-01,8542312000,770314.0
2026-01-01,8542313000,234440263.0
2026-01-01,8542314000,755497207.0
2026-01-01,8542321010,5059378865.0
2026-01-01,8542321020,888745.0
2026-01-01,8542321030,1434956451.0
2026-01-01,8542321090,40673958.0
2026-01-01,8542322000,2655.0
2026-01-01,8542323000,4883414037.0
2026-01-01,8542324000,692648291.0
2026-01-01,8542331000,14178370.0
2026-01-01,8542332000,760947.0
2026-01-01,8542333000,1803609.0
2026-01-01,8542334000,870470.0
2026-01-01,8542391000,808837370.0
2026-01-01,8542392000,1626265.0
2026-01-01,8542393000,11324212.0
2026-01-01,8542394000,15329447.0
2026-01-01,8542900000,37544902.0
2026-01-01,8543901000,5226.0
2026-01-01,8548001000,11590.0
2026-02-01,3818001000,66799459.0
2026-02-01,3818002010,0.0
2026-02-01,3818002090,111812029.0
2026-02-01,8473304060,5206457863.0
2026-02-01,8523521000,12144225.0
2026-02-01,8523522000,164214.0
2026-02-01,8523529000,753774.0
2026-02-01,8541101000,3912034.0
2026-02-01,8541109000,18099371.0
2026-02-01,8541211000,8110985.0
2026-02-01,8541219000,8067879.0
2026-02-01,8541291000,66813218.0
2026-02-01,8541299000,18449220.0
2026-02-01,8541301000,192.0
2026-02-01,8541302000,371287.0
2026-02-01,8541303000,20026.0
2026-02-01,8541304000,37246.0
2026-02-01,8541411000,1450519.0
2026-02-01,8541419000,22614887.0
2026-02-01,8541420000,66186238.0
2026-02-01,8541491000,5269040.0
2026-02-01,8541492000,100229.0
2026-02-01,8541493000,25323558.0
2026-02-01,8541499000,6134228.0
2026-02-01,8541511000,3891788.0
2026-02-01,8541512000,37036.0
2026-02-01,8541513000,0.0
2026-02-01,8541514000,90425.0
2026-02-01,8541591000,19199030.0
2026-02-01,8541599000,2207611.0
2026-02-01,8541601000,3810821.0
2026-02-01,8541609000,2497473.0
2026-02-01,8541902000,527079.0
2026-02-01,8541903000,905870.0
2026-02-01,8541909000,5578950.0
2026-02-01,8542311000,2036464559.0
2026-02-01,8542312000,803813.0
2026-02-01,8542313000,197320419.0
2026-02-01,8542314000,664678705.0
2026-02-01,8542321010,6490777059.0
2026-02-01,8542321020,840915.0
2026-02-01,8542321030,1406223535.0
