기준월,HSK10,수출액_USD,MTI6,산업20
2025-01-01,0706901000,630826.0,012105,농수산식품
2025-01-01,0706902000,0.0,012118,농수산식품
2025-01-01,0706903000,2476.0,012190,농수산식품
2025-01-01,0706904000,1276.0,012190,농수산식품
2025-01-01,0706909000,3430.0,012190,농수산식품
2025-01-01,0707000000,7444.0,012108,농수산식품
2025-01-01,0708100000,0.0,011350,농수산식품
2025-01-01,0708200000,0.0,011390,농수산식품
2025-01-01,0708900000,0.0,011390,농수산식품
2025-01-01,0709200000,0.0,012115,농수산식품
2025-01-01,0709300000,2287.0,012110,농수산식품
2025-01-01,0709400000,0.0,012190,농수산식품
2025-01-01,0709517000,94.0,012410,농수산식품
2025-01-01,0709519000,16731.0,012490,농수산식품
2025-01-01,0709540000,14976.0,012450,농수산식품
2025-01-01,0709550000,0.0,012440,농수산식품
2025-01-01,0709560000,0.0,012490,농수산식품
2025-01-01,0709594010,1646524.0,012430,농수산식품
2025-01-01,0709594090,36112.0,012430,농수산식품
2025-01-01,0709595000,1207494.0,012460,농수산식품
2025-01-01,0709599000,107838.0,012490,농수산식품
2025-01-01,0709601000,4400484.0,012116,농수산식품
2025-01-01,0709609000,265737.0,012116,농수산식품
2025-01-01,0709700000,12896.0,012104,농수산식품
2025-01-01,0709930000,22519.0,012109,농수산식품
2025-01-01,0709991000,105.0,012310,농수산식품
2025-01-01,0709993000,80106.0,012119,농수산식품
2025-01-01,0709999000,111243.0,012190,농수산식품
2025-01-01,0710100000,0.0,011210,농수산식품
2025-01-01,0710210000,0.0,011350,농수산식품
2025-01-01,0710220000,0.0,011390,농수산식품
2025-01-01,0710290000,0.0,011390,농수산식품
2025-01-01,0710300000,0.0,012104,농수산식품
2025-01-01,0710400000,847.0,012190,농수산식품
2025-01-01,0710801000,521.0,012111,농수산식품
2025-01-01,0710802000,0.0,012113,농수산식품
2025-01-01,0710804000,0.0,012106,농수산식품
2025-01-01,0710805000,1534.0,012310,농수산식품
2025-01-01,0710806000,0.0,012440,농수산식품
2025-01-01,0710807000,568.0,012116,농수산식품
2025-01-01,0710808010,39825.0,012190,농수산식품
2025-01-01,0710808020,4065.0,012190,농수산식품
2025-01-01,0710809010,0.0,012190,농수산식품
2025-01-01,0710809090,27066.0,012190,농수산식품
2025-01-01,0710900000,8.0,012190,농수산식품
2025-01-01,0711400000,0.0,012108,농수산식품
2025-01-01,0711599000,0.0,012490,농수산식품
2025-01-01,0711903000,0.0,012320,농수산식품
