산업순위,산업20,기준월,수출액_USD,수출액_bn,MoM_%,YoY_%,3M_YoY_%,세세분류수
20,가전,202511,426182.0,0.000426182,-48.95467649767819,,,8
20,가전,202512,2555304.0,0.002555304,499.5804609298375,,,8
20,가전,202601,1096866.0,0.001096866,-57.074931201923526,173.81057582134486,,8
20,가전,202602,552199.0,0.000552199,-49.656658151497076,126.85775557491002,,9
20,가전,202603,734471.0,0.000734471,33.00839009125334,30.97521091497242,97.84059443415207,9
20,가전,202604,355982.0,0.000355982,-51.53219119611258,-21.768387556149406,30.450064682950305,8
20,가전,202605,503196.0,0.000503196,41.35433814069251,125.26457158205746,28.604399497412423,8
20,가전,202606,139443.0,0.000139443,-72.28853170533947,-72.57817431677978,-15.8650026496996,9
20,가전,202607,513497.0,0.000513497,268.2486750858774,-64.32884344195675,-46.75670908589352,8
20,가전,202608,577374.0,0.000577374,12.439605294675538,237.72263849649923,-41.93898825956748,8
