산업,MTI3,MTI4,MTI6코드,품목명,매칭키워드
철강,613,6132,613230,합금강열연강판,"강판, 열연"
철강,613,6133,613310,철및비합금강냉연강판,"강판, 냉연"
철강,613,6133,613320,스테인레스강냉연강판,"강판, 냉연"
철강,613,6133,613330,합금강냉연강판,"강판, 냉연"
철강,613,6134,613410,용융아연도강판,강판
철강,613,6134,613420,전기아연도강판,강판
철강,613,6134,613430,착색아연도강판,강판
철강,613,6135,613500,전기강판,강판
철강,613,6136,613600,석도강판,강판
철강,613,6137,613700,도금강판,강판
철강,619,6192,619200,기타철강제품,철강
철강,690,6900,690000,기타철강금속제품,철강
철강,691,6919,691900,기타철강제품,철강
철강,692,6924,692400,철강재용기,철강
철강,692,6925,692500,철강재체인,철강
철강,692,6929,692900,기타철강제품,철강
비철금속,021,0219,021900,기타산동물,동
비철금속,023,0231,023190,기타동물성유지,동
비철금속,023,0232,023290,기타동물뼈,동
비철금속,023,0233,023390,기타동물성한약재,동
비철금속,043,0439,043900,기타연체동물,동
비철금속,113,1130,113000,동광,동
비철금속,114,1140,114000,알루미늄광,알루미늄
비철금속,116,1160,116000,아연광,아연
비철금속,117,1170,117000,니켈광,니켈
비철금속,133,1331,133120,자동차휘발유,동
비철금속,441,4411,441116,운동복,동
