MTI코드,코드길이,품목명,행,코드열,품목명열
431200,6,6단위,1329,1,2
4319,4,4단위,497,1,2
431900,6,6단위,1330,1,2
432,3,3단위,146,1,2
4321,4,4단위,498,1,2
432100,6,6단위,1331,1,2
4322,4,4단위,499,1,2
432200,6,6단위,1332,1,2
4329,4,4단위,500,1,2
432900,6,6단위,1333,1,2
433,3,3단위,147,1,2
4331,4,4단위,501,1,2
433110,6,6단위,1334,1,2
433120,6,6단위,1335,1,2
433130,6,6단위,1336,1,2
433190,6,6단위,1337,1,2
4332,4,4단위,502,1,2
433210,6,6단위,1338,1,2
433220,6,6단위,1339,1,2
433230,6,6단위,1340,1,2
433290,6,6단위,1341,1,2
434,3,3단위,148,1,2
4341,4,4단위,503,1,2
434100,6,6단위,1342,1,2
4342,4,4단위,504,1,2
434200,6,6단위,1343,1,2
4343,4,4단위,505,1,2
434300,6,6단위,1344,1,2
4349,4,4단위,506,1,2
434900,6,6단위,1345,1,2
435,3,3단위,149,1,2
4351,4,4단위,507,1,2
435110,6,6단위,1346,1,2
435120,6,6단위,1347,1,2
435190,6,6단위,1348,1,2
4352,4,4단위,508,1,2
435210,6,6단위,1349,1,2
435220,6,6단위,1350,1,2
4359,4,4단위,509,1,2
435910,6,6단위,1351,1,2
435990,6,6단위,1352,1,2
436,3,3단위,150,1,2
4360,4,4단위,510,1,2
436000,6,6단위,1353,1,2
439,3,3단위,151,1,2
4391,4,4단위,511,1,2
439100,6,6단위,1354,1,2
4392,4,4단위,512,1,2
439200,6,6단위,1355,1,2
4393,4,4단위,513,1,2
439300,6,6단위,1356,1,2
4394,4,4단위,514,1,2
439400,6,6단위,1357,1,2
4395,4,4단위,515,1,2
439500,6,6단위,1358,1,2
4396,4,4단위,516,1,2
439610,6,6단위,1359,1,2
439620,6,6단위,1360,1,2
4399,4,4단위,517,1,2
439910,6,6단위,1361,1,2
439920,6,6단위,1362,1,2
439990,6,6단위,1363,1,2
44,2,2단위,33,1,2
441,3,3단위,152,1,2
4411,4,4단위,518,1,2
441101,6,6단위,1364,1,2
441102,6,6단위,1365,1,2
441103,6,6단위,1366,1,2
441104,6,6단위,1367,1,2
441105,6,6단위,1368,1,2
441106,6,6단위,1369,1,2
441107,6,6단위,1370,1,2
441108,6,6단위,1371,1,2
441109,6,6단위,1372,1,2
441110,6,6단위,1373,1,2
441111,6,6단위,1374,1,2
441112,6,6단위,1375,1,2
441113,6,6단위,1376,1,2
441114,6,6단위,1377,1,2
441115,6,6단위,1378,1,2
441116,6,6단위,1379,1,2
441117,6,6단위,1380,1,2
441118,6,6단위,1381,1,2
441190,6,6단위,1382,1,2
4412,4,4단위,519,1,2
441201,6,6단위,1383,1,2
441202,6,6단위,1384,1,2
441203,6,6단위,1385,1,2
441204,6,6단위,1386,1,2
441205,6,6단위,1387,1,2
441206,6,6단위,1388,1,2
441207,6,6단위,1389,1,2
441208,6,6단위,1390,1,2
441209,6,6단위,1391,1,2
441210,6,6단위,1392,1,2
441211,6,6단위,1393,1,2
441212,6,6단위,1394,1,2
441213,6,6단위,1395,1,2
441214,6,6단위,1396,1,2
441215,6,6단위,1397,1,2
441216,6,6단위,1398,1,2
441217,6,6단위,1399,1,2
441220,6,6단위,1400,1,2
4413,4,4단위,520,1,2
441301,6,6단위,1401,1,2
441302,6,6단위,1402,1,2
441303,6,6단위,1403,1,2
4414,4,4단위,521,1,2
441401,6,6단위,1404,1,2
441402,6,6단위,1405,1,2
441403,6,6단위,1406,1,2
441404,6,6단위,1407,1,2
441405,6,6단위,1408,1,2
441406,6,6단위,1409,1,2
441407,6,6단위,1410,1,2
442,3,3단위,153,1,2
4421,4,4단위,522,1,2
442110,6,6단위,1411,1,2
442120,6,6단위,1412,1,2
442130,6,6단위,1413,1,2
442190,6,6단위,1414,1,2
443,3,3단위,154,1,2
4431,4,4단위,523,1,2
443110,6,6단위,1415,1,2
443120,6,6단위,1416,1,2
443130,6,6단위,1417,1,2
443140,6,6단위,1418,1,2
443150,6,6단위,1419,1,2
443190,6,6단위,1420,1,2
449,3,3단위,155,1,2
4490,4,4단위,524,1,2
449001,6,6단위,1421,1,2
449002,6,6단위,1422,1,2
449003,6,6단위,1423,1,2
449004,6,6단위,1424,1,2
449005,6,6단위,1425,1,2
449006,6,6단위,1426,1,2
449007,6,6단위,1427,1,2
449009,6,6단위,1428,1,2
449010,6,6단위,1429,1,2
449013,6,6단위,1430,1,2
449014,6,6단위,1431,1,2
449090,6,6단위,1432,1,2
5,1,1단위,6,1,2
51,2,2단위,34,1,2
511,3,3단위,156,1,2
5110,4,4단위,525,1,2
511010,6,6단위,1433,1,2
511020,6,6단위,1434,1,2
511030,6,6단위,1435,1,2
511040,6,6단위,1436,1,2
511050,6,6단위,1437,1,2
511060,6,6단위,1438,1,2
511070,6,6단위,1439,1,2
512,3,3단위,157,1,2
5121,4,4단위,526,1,2
512110,6,6단위,1440,1,2
512120,6,6단위,1441,1,2
512130,6,6단위,1442,1,2
512140,6,6단위,1443,1,2
512150,6,6단위,1444,1,2
512160,6,6단위,1445,1,2
512190,6,6단위,1446,1,2
5122,4,4단위,527,1,2
512210,6,6단위,1447,1,2
5123,4,4단위,528,1,2
512300,6,6단위,1448,1,2
5124,4,4단위,529,1,2
512400,6,6단위,1449,1,2
5125,4,4단위,530,1,2
512510,6,6단위,1450,1,2
512520,6,6단위,1451,1,2
512530,6,6단위,1452,1,2
5129,4,4단위,531,1,2
